□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20200101 ~ 20201231,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 도로명주소,,,,,,,,,,,
시도 : 부산광역시,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,
도로명 : 전체,,,,,,,,,,,
면적 : 102㎡초과~135㎡이하,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
부산광역시 강서구 명지동,3243,3243,0,엘크루블루오션,124.47,202002,26,"47,250",2,2012,명지오션시티6로 33
부산광역시 강서구 명지동,3243,3243,0,엘크루블루오션,124.47,202004,13,"58,000",8,2012,명지오션시티12로 120
부산광역시 강서구 명지동,3243,3243,0,엘크루블루오션,124.47,202005,4,"54,400",8,2012,명지오션시티12로 92
부산광역시 강서구 명지동,3243,3243,0,엘크루블루오션,124.71,202005,6,"43,500",2,2012,명지오션시티12로 120
부산광역시 강서구 명지동,3243,3243,0,엘크루블루오션,124.47,202006,13,"52,000",7,2012,명지오션시티12로 92
부산광역시 강서구 명지동,3243,3243,0,엘크루블루오션,124.71,202007,8,"48,500",2,2012,명지오션시티6로 33
부산광역시 강서구 명지동,3243,3243,0,엘크루블루오션,124.47,202007,30,"52,800",5,2012,명지오션시티6로 33
부산광역시 강서구 명지동,3243,3243,0,엘크루블루오션,124.47,202007,31,"51,500",9,2012,명지오션시티12로 92
부산광역시 강서구 명지동,3243,3243,0,엘크루블루오션,124.47,202009,4,"50,000",3,2012,명지오션시티12로 92
부산광역시 강서구 명지동,3243,3243,0,엘크루블루오션,124.47,202009,5,"55,000",8,2012,명지오션시티12로 120
